daterecorded,user_comment,altitude,general_condition,precipitation_amount,fog_thickness,longitude,thunderstorm_intensity,windy,precipitation_type,latitude,cloud_type,precipitation_unit,tzoffset
1401669964720,-,0.0,Cloudy,0.0,-,-105.1227743,-,1,-,39.9408934,Partly Cloudy,-,-21600000
1401670141307,-,0.0,Cloudy,0.0,-,151.1006681,Infrequent Lightning,1,Rain,-33.7199201,Mostly Cloudy,-,36000000
1401670177557,-,0.0,Cloudy,0.0,-,-84.1299748,-,0,-,39.7545946,Very Cloudy,-,-14400000
1401670509504,-,0.0,Clear,0.0,-,-122.6927436,-,1,-,45.5208222,-,-,-25200000
1401670602751,-,0.0,Clear,0.0,-,-122.4314915,-,1,-,48.962691,-,-,-25200000
1401670616234,-,0.0,Clear,0.0,-,-77.0726815,-,0,-,38.933638,Mostly Cloudy,-,-14400000
1401670798633,-,0.0,Foggy,0.0,Light Fog,-122.3582352,-,-,-,47.6901277,-,-,-25200000
1401670937425,-,0.0,Clear,0.0,-,-122.3343225,-,-,-,47.6650261,-,-,-25200000
1401671349320,-,0.0,Clear,0.0,-,-79.7771629,-,-,-,40.4382827,-,-,-14400000
1401671426112,-,0.0,Clear,0.0,-,-122.6592004,-,0,-,45.4643342,-,-,-25200000
1401671485542,-,0.0,Cloudy,0.0,-,-119.4797992,-,1,-,49.8674996,Mostly Cloudy,-,-25200000
1401671655430,-,0.0,Cloudy,0.0,-,-79.3458385,-,0,-,43.6706281,Very Cloudy,-,-14400000
1401671703745,-,0.0,Cloudy,0.0,-,151.2491743,-,-,-,-33.889238,Mostly Cloudy,-,36000000
1401671785592,-,0.0,Cloudy,0.0,-,-79.3458385,-,0,-,43.6706281,Very Cloudy,-,-14400000
